"lsoa21_code","analysis","official_rank","official_decile","rank_p05","rank_median","rank_p95","rank_p90_interval_width","same_decile_probability","probability_most_deprived_10pct","probability_most_deprived_20pct"
"E01000162","Weights +/-25%",15020,5,14491.95,15041,15548.15,1056.2,1,0,0
"E01000163","Weights +/-25%",6827,3,6386,6837,7271.15,885.15,0.624,0,0.376
"E01000164","Weights +/-25%",6291,2,5853.9,6301,6724.1,870.200000000001,0.96,0,0.96
"E01000165","Weights +/-25%",17435,6,16686,17457,18263,1577,0.878,0,0
"E01000166","Weights +/-25%",16226,5,15490.9,16233.5,16996.25,1505.35,0.921,0,0
"E01000167","Weights +/-25%",8818,3,8362.95,8824.5,9284.15,921.199999999999,1,0,0
"E01000168","Weights +/-25%",30038,9,29783.9,30038.5,30286,502.100000000002,0.99,0,0
"E01000169","Weights +/-25%",20384,7,19799.75,20396.5,20983.1,1183.35,0.642,0,0
"E01000170","Weights +/-25%",13655,5,13259.75,13693,14135.1,875.349999999999,0.754,0,0
"E01000171","Weights +/-25%",6645,2,6184.95,6656,7105.15,920.2,0.621,0,0.621
"E01000172","Weights +/-25%",26429,8,25937.75,26445,26962.05,1024.3,0.972,0,0
"E01000173","Weights +/-25%",22614,7,22066.95,22627,23191.2,1124.25,0.999,0,0
"E01000174","Weights +/-25%",11343,4,10849.65,11353.5,11871.15,1021.5,1,0,0
"E01000175","Weights +/-25%",28185,9,27670.95,28192.5,28628,957.050000000003,1,0,0
"E01000176","Weights +/-25%",8191,3,7546.75,8199,8894.05,1347.3,1,0,0
"E01000177","Weights +/-25%",22043,7,21033.95,22084.5,23157.05,2123.1,0.997,0,0
"E01000178","Weights +/-25%",21494,7,20755,21535.5,22284.15,1529.15,0.996,0,0
"E01000179","Weights +/-25%",22508,7,21817.95,22501,23187.9,1369.95,0.999,0,0
"E01000180","Weights +/-25%",13873,5,13101.6,13902.5,14706.6,1605,0.78,0,0
"E01000181","Weights +/-25%",24222,8,22946.75,24286.5,25547.3,2600.55,0.756,0,0
"E01000182","Weights +/-25%",24648,8,23569,24695.5,25714.45,2145.45,0.941,0,0
"E01000183","Weights +/-25%",24705,8,24084.25,24718.5,25313.1,1228.85,0.998,0,0
"E01000184","Weights +/-25%",7094,3,6393.6,7118,7814.3,1420.7,0.766,0,0.234
"E01000185","Weights +/-25%",7824,3,7281.8,7852,8430,1148.2,1,0,0
"E01000186","Weights +/-25%",27074,9,26200.75,27074.5,27919.5,1718.75,0.551,0,0
"E01000187","Weights +/-25%",13592,5,12509.95,13642,14715.3,2205.35,0.561,0,0
"E01000188","Weights +/-25%",19783,6,18868.95,19766.5,20626.05,1757.1,0.816,0,0
"E01000189","Weights +/-25%",10799,4,9922,10816.5,11749.1,1827.1,0.892,0,0
"E01000190","Weights +/-25%",21827,7,21297,21832,22383.05,1086.05,1,0,0
"E01000191","Weights +/-25%",19496,6,18509,19534,20470.75,1961.75,0.9,0,0
"E01000192","Weights +/-25%",10974,4,10116.85,11008,11875.05,1758.2,0.947,0,0
"E01000193","Weights +/-25%",9746,3,9164,9774,10367.1,1203.1,0.835,0,0
"E01000194","Weights +/-25%",6427,2,5845.3,6447.5,7041.05,1195.75,0.81,0,0.81
"E01000195","Weights +/-25%",5694,2,5103.9,5719,6365,1261.1,1,0,1
"E01000196","Weights +/-25%",13501,4,12702.85,13538.5,14302.25,1599.4,0.482,0,0
"E01000197","Weights +/-25%",16832,5,15906,16861,17715,1809,0.512,0,0
"E01000198","Weights +/-25%",17271,6,16353.85,17329.5,18250,1896.15,0.756,0,0
