"simulation","constant","Income","Employment","Education","Health","Crime","Barriers","Living environment","mean_absolute_rank_change"
40,23,0.200936743018526,0.277238122792483,0.103666910082063,0.138926949724415,0.0998177635716254,0.0946158654228599,0.0847976453880279,188.960035550288
41,23,0.215856394615499,0.251046911732366,0.119947532610471,0.150715109665493,0.10288098999733,0.0732422119977064,0.0863108493811349,327.197096726423
42,23,0.171819284750732,0.258725291237854,0.115202278539395,0.13958143684362,0.0886984079787592,0.110278862432319,0.115694438217321,390.359709672651
43,23,0.203878939071091,0.231703569926022,0.153560114306915,0.140120993958938,0.0920255792368685,0.104406959124525,0.0743038443756408,254.519211968599
44,23,0.219647481724476,0.222702239367621,0.141669540788389,0.156424193514643,0.0919230180059884,0.0901322520743792,0.0775012745245034,226.899007554437
45,23,0.247184837071176,0.199685378539856,0.151116378628955,0.107004976747856,0.0991724318295673,0.11295916046403,0.0828768367185595,335.8999259369
46,23,0.217441255754626,0.228016473959242,0.157090956815532,0.122338387207772,0.0998828359472288,0.0943663526774937,0.080863737638105,182.789394163832
47,23,0.246926868771008,0.255186666260361,0.11444008289361,0.112458489332801,0.102175851149857,0.0993306974801512,0.0694813441122112,276.262361131691
48,23,0.259440505513914,0.183041625700991,0.135273855044536,0.132559450187341,0.124102106559349,0.0833972140436773,0.0821852429501915,254.59600059253
49,23,0.177942428864512,0.265723068238399,0.101959431882938,0.153142170600336,0.0959773343574563,0.106300143479139,0.0989554225772193,272.782224855566
50,23,0.171247315367781,0.211286025107312,0.162387931751095,0.157666948079688,0.115836032084504,0.0856225895654736,0.0959531580441456,273.945193304698
51,23,0.222850016372209,0.208341453854656,0.117936572204539,0.148930177916177,0.119506251977755,0.0988764951500929,0.0835590325245713,168.386609391207
52,23,0.222842057403572,0.260273840592206,0.105403639190536,0.142333931291542,0.0892498695060857,0.0910038943447928,0.0888927676712656,162.067545548806
53,23,0.185148998022082,0.274579055605766,0.132081636737607,0.135105874567921,0.0773607106159623,0.0853909018544945,0.110332822596167,231.679395645083
54,23,0.257966393409703,0.221637923980084,0.149366812064769,0.125808902937206,0.0680800855864893,0.0714530454766938,0.105686836545055,259.315716190187
55,23,0.232341152848115,0.185776356752954,0.128883523767486,0.172643757027117,0.113601835248338,0.0885556059242325,0.0781977684317573,258.981780476956
56,23,0.23502309464268,0.259035916091971,0.138899500775078,0.113860779999906,0.0808009433799178,0.0857116439720523,0.0866681211383947,186.179469708201
57,23,0.204002603044427,0.249666829275932,0.128766394674643,0.10396650277649,0.104137520475395,0.110086285972963,0.0993738637801487,278.603643904612
58,23,0.243309004762218,0.21822105504525,0.129197046890352,0.116460218191008,0.120508880835987,0.0938877086291963,0.0784160856459893,207.285616945628
59,23,0.231388050356784,0.244903188930342,0.12231233217212,0.145081139707772,0.0791258517393456,0.0985161477839097,0.0786732893097259,198.915242186345
60,23,0.256011696767412,0.186316837877267,0.129278168034844,0.16006667600338,0.0924938695650386,0.0784820998262295,0.097350651925829,216.835609539317
61,23,0.215013658555459,0.19812812000035,0.165216796162756,0.163820267689693,0.103222524832715,0.0749616692116659,0.0796369635473607,373.181928603163
62,23,0.195088104062518,0.254653472118456,0.116506571619297,0.148920593660205,0.0957756759227188,0.110958218664958,0.0780973639518469,236.606547178193
63,23,0.198849862948207,0.227389226840543,0.165839857318887,0.122365700628991,0.102045770980358,0.0850807470209744,0.0984288342620405,167.366908606127
64,23,0.238322193983377,0.242653502615174,0.155080380558049,0.103526322038739,0.0945253153750032,0.0656506587162346,0.100241626713423,319.249296400512
65,23,0.245634043887528,0.236131342161691,0.107119174966221,0.153394171423908,0.0859174579220064,0.0968039682088198,0.0749998414298259,232.214131239807
66,23,0.212849526724577,0.204895699237733,0.122696151781648,0.143497241841423,0.12501978866689,0.0868497713933644,0.104191820354364,274.168923122504
67,23,0.260276385311507,0.232468021211611,0.136106607533554,0.117685075671592,0.0852390820343432,0.0812421815088446,0.0869826467285483,203.040853206943
68,23,0.181749254752285,0.250496228683298,0.152080505589409,0.13099522615278,0.105060134095785,0.107623233382961,0.0719954173434811,283.198992741816
69,23,0.214780022759524,0.203668566700878,0.152528093108329,0.123323670613654,0.112105679309717,0.0898656564098448,0.103728311098053,190.283158050659
70,23,0.245254106980396,0.172661738085361,0.158816100238871,0.118974527307477,0.116661209812093,0.0725585084262278,0.115073809149573,363.993897200417
71,23,0.20639466148552,0.213027956910288,0.119802685783822,0.169475815212892,0.0989125930184671,0.102796293613412,0.0895899939755989,181.623818693521
72,23,0.211747641623266,0.210176934620694,0.113565358323272,0.114480697528796,0.124308049592885,0.104794335614986,0.120926982696101,494.36599022366
73,23,0.170949048042106,0.205178285858707,0.157429582181811,0.161999404750552,0.0874751863745899,0.103926968483319,0.113041524308916,338.491660494754
74,23,0.22821968270681,0.22134440621322,0.124548562307718,0.133409663687914,0.116606704445377,0.0962520293801642,0.0796189512587972,159.091867871425
75,23,0.206064374055854,0.259789180437081,0.125600910791498,0.11695893410494,0.0981634158710659,0.112290785121265,0.0811323996182951,245.105850985038
76,23,0.188073577130053,0.22769649704386,0.12892476759514,0.132020532711849,0.100585579098883,0.111556009090155,0.11114303733006,354.255665827269
77,23,0.244344282184234,0.220123987174919,0.14297280354927,0.152878444788326,0.0816997599478482,0.0856170665642589,0.0723636557911435,310.811139090512
78,23,0.214968299093457,0.259774550083545,0.105302659146895,0.15335270333816,0.0885657923959803,0.0979149297797077,0.080121066162255,207.869648940897
79,23,0.253557703102956,0.175835162267697,0.126865917251382,0.165937794364062,0.0970383010034387,0.0991513936740919,0.0816137283363722,169.854184565249
80,23,0.212210961137379,0.245170723864202,0.115197119759939,0.121597007168851,0.108901748768314,0.0974332425548792,0.0994891967464355,177.872315212562
81,23,0.231213153341411,0.212653719971357,0.131840228989912,0.1477994904672,0.078446618001455,0.110754038961384,0.0872927502672812,232.066538290616
82,23,0.200040047738643,0.226293862906801,0.161970353118195,0.122569383981274,0.113928576722804,0.0926004748152808,0.0825973007170019,202.536157606276
83,23,0.252114474323154,0.170474790512864,0.163536218571082,0.106451774387522,0.0929837818541595,0.104658338361938,0.109780621989282,379.727744037918
84,23,0.238066169200267,0.220618391972448,0.129113366530884,0.124652827183025,0.0832089189065622,0.0923920616648121,0.111948264542002,227.164568212117
85,23,0.250167496470274,0.198822349041103,0.114331550959511,0.143223556974462,0.0922499963014016,0.0983424230958419,0.102862627157407,202.252051547915
86,23,0.192351599835061,0.26262405907878,0.151816589455571,0.147375721024559,0.0909645337561557,0.0730194512126825,0.081848045637192,373.691304991859
87,23,0.240198525147847,0.174986306073287,0.17108930328117,0.109937415667384,0.107494137612249,0.083564406019779,0.112729906198284,307.847667012296
88,23,0.265578975812472,0.191587029931642,0.156524637950651,0.128697053121438,0.0742407805930747,0.0767942945628244,0.106577228027897,224.312190786545
89,23,0.2193106794222,0.234618164977641,0.0988928340943667,0.151470088904516,0.103335418681471,0.094005894228354,0.0983669196914507,207.702207080429
90,23,0.183938095546768,0.238961444949558,0.158617365536264,0.136245449140044,0.0806331332506661,0.0993809376164259,0.102223573960273,196.951147978077
91,23,0.259865701619755,0.213521571590925,0.109309176765614,0.153455871794702,0.0857358796930676,0.0816660118179637,0.0964457867179726,209.716012442601
92,23,0.252081685987115,0.230293841437902,0.131591930843768,0.11484933625097,0.0737697271289671,0.100442673871461,0.0969708044798173,212.05616945638
93,23,0.244953578721818,0.237430150645042,0.148861234235098,0.124029923941101,0.0676388758918207,0.104728294100481,0.0723579424646397,348.180891719742
94,23,0.248839571541288,0.219541524815303,0.125022295650718,0.112860866308109,0.111220012808218,0.0988937674582783,0.0836219614180861,180.332809954085
95,23,0.213185914094897,0.210861432253478,0.17031331954729,0.138409205884214,0.0872419047062252,0.0982121725103244,0.0817760510035713,228.409480077022
96,23,0.202008548790075,0.227899743057258,0.134698207722952,0.14331242136442,0.100816332063695,0.0982639012778815,0.093000845723717,94.1463486890818
97,23,0.258504976637782,0.196119827961228,0.144175368719049,0.14325977952303,0.0947279700921446,0.070112540348401,0.0930995367183648,279.196504221573
98,23,0.216132549863939,0.189812552386882,0.137808379440602,0.164624218495083,0.114119338267583,0.0982292378719368,0.0792737236739741,205.828529106796
99,23,0.267774545914248,0.224101776669881,0.136357928723283,0.119626561691013,0.0816842648899023,0.0679036208023972,0.102551301309276,288.70490297734
100,23,0.216168802345293,0.197959787025006,0.138128609932212,0.160636356584416,0.103347725166442,0.0989884216854209,0.0847702972612102,144.510739149753
101,23,0.23111620360468,0.251419140616383,0.101904891498181,0.143172500081452,0.0907919580028209,0.107845598523555,0.0737497076729275,252.18622426307
102,23,0.225585494361495,0.218325078158814,0.157433193131193,0.135970355989515,0.0814293116211827,0.0897593036075068,0.091497263130294,124.738201747891
103,23,0.273531939341288,0.200348482584699,0.150153271121871,0.126681795313605,0.0966677313863958,0.0828784410239927,0.069738339228149,341.366553103246
104,23,0.23737752075618,0.197641074915533,0.158088948721683,0.158916544471044,0.075507822179706,0.0996192217756568,0.0728488671801971,305.775914679307
105,23,0.245434579597916,0.240790438215301,0.111482597484991,0.118408887271887,0.0972587601669805,0.0981586488381317,0.0884660884247936,147.938675751744
106,23,0.181268040062764,0.216813007046145,0.176290473022666,0.128706058476262,0.0913682723819489,0.114466693722271,0.0910874552879435,346.648437268545
107,23,0.229545124708509,0.23021558014563,0.122764761195283,0.154005882422558,0.0829603981763057,0.076770689135866,0.103737564215847,240.884787438895
108,23,0.211628052150526,0.188143909057573,0.136707547321677,0.147427500381312,0.0956980542835474,0.106123704489269,0.114271232316095,343.089260850261
109,23,0.255783446122269,0.186015269624455,0.163044113476875,0.147715882686171,0.0741762649527939,0.0788602369710244,0.0944047861664117,220.509435639155
110,23,0.182753213207381,0.205396916382163,0.149476022038036,0.163821002304248,0.10538268046746,0.0841921309419826,0.108978034658729,289.359324544515
111,23,0.251381221069631,0.237818850218751,0.104488336807465,0.124131433009396,0.104303010207922,0.0980523757553276,0.0798247729315078,192.99327507036
112,23,0.265061221720715,0.201746754137907,0.128781563269121,0.114954489491636,0.103594488833889,0.0886851009730244,0.0971763815737089,178.079869648937
113,23,0.185101475540495,0.179620932844482,0.171986495877159,0.16147571669361,0.0880621078145773,0.112351031587809,0.101402239641868,350.626929343802
114,23,0.194164711763818,0.236532858166335,0.155298800947883,0.130014564430433,0.0785336675526244,0.105139324168041,0.100316072970866,224.215197748468
