"simulation","constant","Income","Employment","Education","Health","Crime","Barriers","Living environment","mean_absolute_rank_change"
142,33.7642203317955,0.22964582511067,0.19027191761193,0.142284154473289,0.156824480497741,0.0791553305033363,0.0932889486954434,0.108529343107591,192.438927566289
143,30.8593012066558,0.235686546604794,0.273776525919504,0.118134881891233,0.114307337699147,0.0773418331975629,0.0935006798535415,0.0872521948342178,266.76865649534
144,22.1586682833731,0.27083251784738,0.178941862944537,0.159232678843084,0.117805110524427,0.0849068547364792,0.0815574379450881,0.106723537159005,235.622396681972
145,19.309525443241,0.21725113571429,0.232288136649334,0.124578482743878,0.153027855940549,0.0785174970680808,0.111171140261598,0.0831657516222697,264.366523478017
146,19.3485562410206,0.237479427640981,0.258792340507725,0.1102493338797,0.145524272659081,0.075843144679514,0.10470794737534,0.0674035332576587,319.125936898241
147,18.8092838320881,0.259662548229658,0.189347047015895,0.113434607693706,0.122365708410996,0.118685688549787,0.117465145333711,0.0790392547662467,381.501762701827
148,15.9482736000791,0.228812835502058,0.252968553133127,0.117159677849919,0.131322311595415,0.099629298007798,0.0900900448006129,0.08001727911107,147.913849800028
149,32.6788960304111,0.27570739942869,0.215699412069283,0.107178042860209,0.101884709622396,0.104725302912789,0.0961960085481884,0.0986091245584447,306.387735150337
150,19.3518766667694,0.222048209520227,0.244968440815968,0.110820215233745,0.158047675841486,0.103111317330322,0.0793236935343573,0.0816804477238945,275.042986224254
151,34.8398854583502,0.287843583859017,0.194869901796582,0.113658795505584,0.127186057218169,0.0992071036322365,0.0776156806196831,0.0996188773687287,366.744541549419
152,21.4282164629549,0.227888667618456,0.202130550655415,0.114993141448397,0.156964022679288,0.0780708289725041,0.102676063616169,0.11727672500977,373.430839875568
153,22.7617346681654,0.254568585698675,0.18039941769553,0.141149094627322,0.160578511550215,0.100520975952629,0.076125383391774,0.0866580310838556,265.287868463942
154,32.4452687287703,0.25242243924573,0.201268806876954,0.128470183384372,0.14586777717008,0.0816944260952182,0.0976892429026397,0.0925871243250064,181.63003999407
155,17.5011977879331,0.220014475843189,0.219568380292332,0.15291282773575,0.144878572844861,0.0880140635445176,0.0791052333835341,0.0955064463558156,176.074596356094
156,16.5336732147262,0.239760193631419,0.227519520034038,0.139051989608726,0.141470590645627,0.0909985599435382,0.0920699517210024,0.0691291944156491,252.858776477551
157,32.0267536118627,0.193021404713617,0.259146269576367,0.177231835232935,0.110975883548198,0.0979824404750617,0.0776257563140595,0.0840164101397619,419.487009331936
158,30.2433348540217,0.213757809720923,0.205860230143821,0.155047643997293,0.111878584648543,0.0888896282399672,0.115030169966415,0.109535933283039,332.056050955405
159,17.1196504682302,0.185419456525964,0.227640734396848,0.155826197769529,0.141057044776195,0.108254862461967,0.108869653112811,0.0729320509566853,302.986224263068
160,30.3311749221757,0.220939246395622,0.251851133456811,0.14544035607572,0.103057396423047,0.095827220804118,0.107941654361066,0.074942992483616,332.0325285143
161,29.4637621333823,0.194388071707887,0.255371454227303,0.126114948362206,0.131938924009421,0.100763492167834,0.0804929521565918,0.110930157368757,277.805599170489
162,25.4497452778742,0.192532477809453,0.243895344064972,0.15633487352007,0.155072292497035,0.102092915052892,0.0705299484096292,0.0795421486459491,446.08934972596
163,29.6169287525117,0.245459210186036,0.240519352153274,0.114921763584117,0.109115293204822,0.0863390799418318,0.0883041851852421,0.115341115744678,274.826307213744
164,29.1397479781881,0.249091924283193,0.222167516856492,0.114535748446912,0.131346470548922,0.0809454433619924,0.118897515418317,0.0830153810841716,323.78889053473
165,18.4378631412983,0.20844320091241,0.249348082312107,0.12839189387672,0.117620841311564,0.116351475270762,0.0782861360772733,0.101558370239163,249.046363501711
166,20.1958454959095,0.201994708163739,0.246532084466861,0.115582884286594,0.1390497227775,0.0962645042275389,0.10820308006667,0.0923730160110963,214.164657087821
167,19.2693147808313,0.23214894329871,0.244036756508884,0.132946582687512,0.125838295484073,0.0871842433815439,0.073268391826762,0.104576786812515,224.326410902093
168,16.2471542973071,0.167029698348292,0.258626768958798,0.165224537496126,0.147807503423578,0.0957437414594756,0.0786540200756264,0.0869137302381039,301.397422604068
169,26.0148937581107,0.26372501514871,0.224585622440846,0.122699335203711,0.156995721361106,0.069826451719488,0.0753679245988045,0.0867999295273354,329.047311509425
170,18.7112799938768,0.246333451816018,0.242972702425453,0.114466371423717,0.136062889567893,0.0710145443907494,0.0838748329169167,0.105275207459253,220.751473855728
171,28.4116653958336,0.275845956666864,0.180434945804283,0.125869720724868,0.14791240065533,0.0905175093622545,0.102916967515035,0.0765024992713646,263.487838838678
172,20.0255274167284,0.226680284120916,0.222246186599872,0.16806637109338,0.123505422953701,0.085312498731308,0.0834209182942187,0.0907683182066052,171.697111539038
173,18.6094507481903,0.235430217101039,0.189721365826181,0.147771245408108,0.113492873568283,0.0993208169801534,0.0941294843206984,0.120133996795537,401.713523922386
174,29.6059826482087,0.19982067668501,0.19311810798094,0.115031322201069,0.173864336422402,0.121206097572668,0.104059102293871,0.0929003568440404,266.928929047553
175,30.1700820960104,0.239407068028408,0.235526462082461,0.132978060545678,0.12238419629802,0.107066612261211,0.0938741708869584,0.0687634298972622,351.549874092749
176,15.2921719476581,0.218433221212181,0.241192472501118,0.112728981466242,0.14552360357358,0.0896958442400528,0.0875684456404114,0.104857431366414,240.372152273744
177,22.186230472289,0.233580200228984,0.204392047097431,0.156444089274122,0.154983035125207,0.0850749964190883,0.0907782082805347,0.074747423574634,267.222515182934
178,22.4636932695284,0.228982373622425,0.254274775887581,0.149789103282721,0.141545393978448,0.0729462344800443,0.0681457907809156,0.0843163279678653,378.048170641369
179,24.6365329250693,0.190215676227448,0.252837889442987,0.135250155803134,0.153505255689302,0.0880565598853663,0.097716257459621,0.0824182054921411,203.384624500081
180,20.6190781714395,0.245374078670625,0.21640140496719,0.101940610239923,0.148920286565571,0.0975218672472303,0.0978610350735468,0.0919807172359137,171.049859280101
181,19.1912791226059,0.22107328402691,0.265313836466232,0.126843206998146,0.125747766397597,0.099950118750858,0.0740343443023989,0.0870374430578583,249.612620352545
182,20.9795209206641,0.236678796696209,0.257470643525616,0.128303464722377,0.134343476341735,0.0982580885080253,0.0765544002094839,0.0683911299965532,373.351621981917
183,18.0162409413606,0.237990478126766,0.262682044446738,0.110008438056188,0.128940463595501,0.0951603035672096,0.0877724181038398,0.0774458541037577,196.397037475922
