scenario,model_id,term,estimate,std_error_hc3,statistic,p_value,conf_low,conf_high,n_obs,r_squared,adj_r_squared
bbox_on_full,M2,factor(region_fe)North West,0.057412961511356594,0.0030793926409728987,18.64424846232588,1.0725616260707346e-75,0.05137638503626725,0.06344953798644594,6791,0.7234697661372671,0.7230210520832046
bbox_on_full,M2,factor(region_fe)South East,0.03846040721171748,0.0030136726312346407,12.761972489347999,7.085513915958123e-37,0.0325526625911471,0.04436815183228786,6791,0.7234697661372671,0.7230210520832046
bbox_on_full,M2,factor(region_fe)South West,0.04328779078794289,0.00330034834043847,13.116127851580618,7.884163815585882e-39,0.03681807176400034,0.04975750981188544,6791,0.7234697661372671,0.7230210520832046
bbox_on_full,M2,factor(region_fe)West Midlands,0.021673822693946694,0.003240618439836077,6.688174833394776,2.4399127004962193e-11,0.0153211930297819,0.02802645235811149,6791,0.7234697661372671,0.7230210520832046
bbox_on_full,M2,factor(region_fe)Yorkshire and The Humber,0.035514245839294196,0.003296453146778074,10.773472049498269,7.570842867749682e-27,0.029052162617978248,0.04197632906061014,6791,0.7234697661372671,0.7230210520832046
bbox_on_full,M3,(Intercept),-0.04060667637862313,0.0027996477973057394,-14.50420885716455,5.725292095541335e-47,-0.0460948651230153,-0.035118487634230956,6791,0.7242364428923111,0.7237889728925789
bbox_on_full,M3,log_groups,0.019896910753083915,0.0021298720481217203,9.341833830173268,1.258818416018812e-20,0.01572169278004236,0.02407212872612547,6791,0.7242364428923111,0.7237889728925789
bbox_on_full,M3,z_Score,-0.09618881773817045,9.923864216054748e-4,-96.9267773560998,0,-0.09813420672402223,-0.09424342875231867,6791,0.7242364428923111,0.7237889728925789
bbox_on_full,M3,urban_ruralUrban,-0.03471503099653751,0.002009007804274575,-17.279689467942426,1.6677904383008527e-65,-0.03865331710146347,-0.030776744891611557,6791,0.7242364428923111,0.7237889728925789
bbox_on_full,M3,factor(region_fe)East of England,0.006727949058924507,0.003212401027505393,2.0943677334548516,0.03626427053129545,4.306343829157816e-4,0.013025263734933233,6791,0.7242364428923111,0.7237889728925789
bbox_on_full,M3,factor(region_fe)London,0.05002320956094942,0.003406567662024891,14.684343457665308,4.4228190897470646e-48,0.0433452673148828,0.056701151807016036,6791,0.7242364428923111,0.7237889728925789
bbox_on_full,M3,factor(region_fe)North East,0.025210722539751984,0.0038846672956537693,6.489802245859809,9.201669950125408e-11,0.017595554893224223,0.032825890186279745,6791,0.7242364428923111,0.7237889728925789
bbox_on_full,M3,factor(region_fe)North West,0.05731435733762365,0.003077130041575194,18.62591329038672,1.4858804853177793e-75,0.051282216267787596,0.06334649840745969,6791,0.7242364428923111,0.7237889728925789
bbox_on_full,M3,factor(region_fe)South East,0.03816683352599227,0.0030181982183972423,12.645568900461432,3.030370715420209e-36,0.03225021733359366,0.04408344971839088,6791,0.7242364428923111,0.7237889728925789
bbox_on_full,M3,factor(region_fe)South West,0.043147446987381315,0.003297916556225142,13.083243997164288,1.2030066461795922e-38,0.03668249502405305,0.04961239895070958,6791,0.7242364428923111,0.7237889728925789
bbox_on_full,M3,factor(region_fe)West Midlands,0.021609015990069588,0.003245846428341396,6.657436347384937,3.004542766079399e-11,0.015246137826897769,0.027971894153241406,6791,0.7242364428923111,0.7237889728925789
bbox_on_full,M3,factor(region_fe)Yorkshire and The Humber,0.03547850220875937,0.003292070054735499,10.776958454369796,7.294039131383839e-27,0.02902501122409435,0.041931993193424395,6791,0.7242364428923111,0.7237889728925789
bbox_off_full,M0,(Intercept),-0.04494084946051444,0.0016578343815833766,-27.108165905928434,9.524284724321094e-154,-0.048190724537146866,-0.04169097438388201,6791,0.03892126242383993,0.038779698314607924
bbox_off_full,M0,any_groupTRUE,0.05422973503835211,0.003184601394587652,17.02873556813658,1.0425971218072389e-63,0.0479869180137742,0.060472552062930014,6791,0.03892126242383993,0.038779698314607924
bbox_off_full,M1,(Intercept),-0.04362066036042641,0.0016346870298786418,-26.684410876903318,2.8719114216024643e-149,-0.046825159371614106,-0.04041616134923871,6791,0.0359906175537643,0.03584862176904691
